,rank,title,artist,date,streams,week
101,102,HIGHEST IN THE ROOM,Travis Scott,31/08/2020,"83,723",24/08/20 - 30/08/20
102,103,Малолетка,Max Korzh,31/08/2020,"83,479",24/08/20 - 30/08/20
103,104,Not Shy,ITZY,31/08/2020,"81,505",24/08/20 - 30/08/20
104,105,77,MACAN,31/08/2020,"80,585",24/08/20 - 30/08/20
105,106,Бандана,Платина,31/08/2020,"80,339",24/08/20 - 30/08/20
106,107,Fly 2,Zivert,31/08/2020,"80,226",24/08/20 - 30/08/20
107,108,THE SCOTTS,THE SCOTTS,31/08/2020,"79,801",24/08/20 - 30/08/20
108,109,B.I.D,Markul,31/08/2020,"79,519",24/08/20 - 30/08/20
109,110,Нон стоп,Poshlaja Molli,31/08/2020,"79,378",24/08/20 - 30/08/20
110,111,По необъятной,DK,31/08/2020,"79,110",24/08/20 - 30/08/20
111,112,Рашан моуст уонтэд,kizaru,31/08/2020,"79,059",24/08/20 - 30/08/20
112,113,27,FEDUK,31/08/2020,"78,852",24/08/20 - 30/08/20
113,114,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,31/08/2020,"78,792",24/08/20 - 30/08/20
114,115,Это любовь,Scriptonite,31/08/2020,"78,598",24/08/20 - 30/08/20
115,116,SICKO MODE,Travis Scott,31/08/2020,"78,445",24/08/20 - 30/08/20
116,117,Such a Whore (Stellular Remix),Jvla,31/08/2020,"78,101",24/08/20 - 30/08/20
117,118,Star Shopping,Lil Peep,31/08/2020,"78,084",24/08/20 - 30/08/20
118,119,Не по пути,PHARAOH,31/08/2020,"77,980",24/08/20 - 30/08/20
119,120,НЕ ЖАЛЬ,104,31/08/2020,"76,941",24/08/20 - 30/08/20
120,121,Мишка (feat. KATERINA),Poshlaja Molli,31/08/2020,"76,657",24/08/20 - 30/08/20
121,122,Марабу,ATL,31/08/2020,"76,507",24/08/20 - 30/08/20
122,123,Мне пох,Klava Koka,31/08/2020,"75,902",24/08/20 - 30/08/20
123,124,NBA (Не мешай),RSAC,31/08/2020,"75,534",24/08/20 - 30/08/20
124,125,Кукла колдуна,Korol i Shut,31/08/2020,"75,509",24/08/20 - 30/08/20
125,126,X2 - Prod. Gredy,Boulevard Depo,31/08/2020,"75,300",24/08/20 - 30/08/20
126,127,Малиновый закат,Max Korzh,31/08/2020,"74,947",24/08/20 - 30/08/20
127,128,Come & Go (with Marshmello),Juice WRLD,31/08/2020,"74,766",24/08/20 - 30/08/20
128,129,Пачка сигарет,LIZER,31/08/2020,"74,476",24/08/20 - 30/08/20
129,130,Ахегао,MAYBE BABY,31/08/2020,"74,146",24/08/20 - 30/08/20
130,131,СПАСАТЕЛЬНЫЙ КРУГ,FACE,31/08/2020,"74,084",24/08/20 - 30/08/20
131,132,ВКУС ЯДА (feat. IROH),GONE.Fludd,31/08/2020,"73,998",24/08/20 - 30/08/20
132,133,GOOBA,6ix9ine,31/08/2020,"73,991",24/08/20 - 30/08/20
133,134,СМУЗИ,The Limba,31/08/2020,"73,564",24/08/20 - 30/08/20
134,135,goosebumps,Travis Scott,31/08/2020,"73,382",24/08/20 - 30/08/20
135,136,МОЙ КАЛАШНИКОВ,FACE,31/08/2020,"73,365",24/08/20 - 30/08/20
136,137,Boom Boom,LOBODA,31/08/2020,"73,022",24/08/20 - 30/08/20
137,138,Таблетка,Dzharo & Khanza,31/08/2020,"72,433",24/08/20 - 30/08/20
138,139,Hokage,Big BaTape,31/08/2020,"72,088",24/08/20 - 30/08/20
139,140,Горы по колено,Max Korzh,31/08/2020,"71,871",24/08/20 - 30/08/20
140,141,Phantom,Markul,31/08/2020,"71,784",24/08/20 - 30/08/20
141,142,Surname (Prod. DJ Tape & Aarne),Big BaTape,31/08/2020,"71,665",24/08/20 - 30/08/20
142,143,Air Force 1,lil krystalll,31/08/2020,"71,581",24/08/20 - 30/08/20
143,144,Ламбада,T-Fest,31/08/2020,"71,014",24/08/20 - 30/08/20
144,145,Blueberry Faygo,Lil Mosey,31/08/2020,"70,934",24/08/20 - 30/08/20
145,146,Savage Love (Laxed - Siren Beat),Jawsh 685,31/08/2020,"70,825",24/08/20 - 30/08/20
146,147,Монетка,LSP,31/08/2020,"70,763",24/08/20 - 30/08/20
147,148,Balenciaga,FILV,31/08/2020,"70,567",24/08/20 - 30/08/20
148,149,ЯТЛ,Zivert,31/08/2020,"70,545",24/08/20 - 30/08/20
149,150,Диибо,OG Buda,31/08/2020,"70,168",24/08/20 - 30/08/20
150,151,Break My Heart,Dua Lipa,31/08/2020,"69,795",24/08/20 - 30/08/20
151,152,2 минуты,Markul,31/08/2020,"69,717",24/08/20 - 30/08/20
152,153,Money long,kizaru,31/08/2020,"69,620",24/08/20 - 30/08/20
153,154,The Box,Roddy Ricch,31/08/2020,"69,554",24/08/20 - 30/08/20
154,155,Yung Hefner,MORGENSHTERN,31/08/2020,"69,322",24/08/20 - 30/08/20
155,156,Где нас нет,Oxxxymiron,31/08/2020,"69,124",24/08/20 - 30/08/20
156,157,Евгений Онегин,kizaru,31/08/2020,"68,778",24/08/20 - 30/08/20
157,158,Девочка в классе,Dzhizus,31/08/2020,"67,954",24/08/20 - 30/08/20
158,159,что для тебя красота,maslo chernogo tmina,31/08/2020,"67,893",24/08/20 - 30/08/20
159,160,EMPIRE,WENGIE,31/08/2020,"67,679",24/08/20 - 30/08/20
160,161,Комета,JONY,31/08/2020,"67,491",24/08/20 - 30/08/20
161,162,Dance Monkey,Tones And I,31/08/2020,"66,809",24/08/20 - 30/08/20
162,163,ODIUM,LXST CXNTURY,31/08/2020,"66,807",24/08/20 - 30/08/20
163,164,Infinite Tsukuyomi,ROCKET,31/08/2020,"66,697",24/08/20 - 30/08/20
164,165,Полковнику никто не пишет,Bi-2,31/08/2020,"66,462",24/08/20 - 30/08/20
165,166,"Бэнтли, Бенз и Бумер",Платина,31/08/2020,"66,437",24/08/20 - 30/08/20
166,167,EMPIRE - English Version,WENGIE,31/08/2020,"66,173",24/08/20 - 30/08/20
167,168,Худший друг,Markul,31/08/2020,"66,068",24/08/20 - 30/08/20
168,169,my future,Billie Eilish,31/08/2020,"66,064",24/08/20 - 30/08/20
169,170,KONSTRUKT,PORCHY,31/08/2020,"66,047",24/08/20 - 30/08/20
170,171,EMPIRE - Korean Version,WENGIE,31/08/2020,"65,755",24/08/20 - 30/08/20
171,172,EMPIRE - Instrumental,WENGIE,31/08/2020,"65,678",24/08/20 - 30/08/20
172,173,Fata Morgana,Markul,31/08/2020,"65,304",24/08/20 - 30/08/20
173,174,А если это любовь?,HammAli & Navai,31/08/2020,"65,182",24/08/20 - 30/08/20
