,rank,title,artist,week,raw_rank
52,53,Ну почему,Agunda,28/08/20 - 03/09/20,94.857
53,54,Boom Boom,"LOBODA, PHARAOH",28/08/20 - 03/09/20,95.286
54,55,Kosandra,Miyagi & Andy Panda,28/08/20 - 03/09/20,95.857
55,56,Utopia,Miyagi & Andy Panda,28/08/20 - 03/09/20,97.429
56,57,Black Guard,Нурминский,28/08/20 - 03/09/20,98.714
57,58,Было или нет?,"ANIKV, SALUKI",28/08/20 - 03/09/20,99.143
58,59,911,Элджей,28/08/20 - 03/09/20,99.286
59,60,Brooklyn,Miyagi & Andy Panda feat. TumaniYO,28/08/20 - 03/09/20,100.286
60,61,Кайф ты поймала,Konfuz,28/08/20 - 03/09/20,100.571
61,62,Дежавю,kizaru,28/08/20 - 03/09/20,101.286
62,63,Она любила розы,Ислам Итляшев,28/08/20 - 03/09/20,101.286
63,64,Времена,Макс Корж,28/08/20 - 03/09/20,101.429
64,65,УРЫЛ 0$,ДЕТИ RAVE,28/08/20 - 03/09/20,101.429
65,66,В последний раз,Тима Белорусских,28/08/20 - 03/09/20,101.714
66,67,РОЛЕКС,DAVA feat. Филипп Киркоров,28/08/20 - 03/09/20,103.286
67,68,Lovefool,twocolors,28/08/20 - 03/09/20,103.286
68,69,ХЕДШОТ,GAYAZOV$ BROTHER$,28/08/20 - 03/09/20,104.571
69,70,Кино,MACAN,28/08/20 - 03/09/20,104.571
70,71,KISS,Basiaga feat. Benz,28/08/20 - 03/09/20,104.857
71,72,Океан,Мари Краймбрери,28/08/20 - 03/09/20,106.143
72,73,BALENCIAGA,FILV,28/08/20 - 03/09/20,107.571
73,74,Ну чё ты такой хороший?,Асия,28/08/20 - 03/09/20,108.571
74,75,Папа,PUSSYKILLER,28/08/20 - 03/09/20,108.857
75,76,Tantra,Miyagi & Andy Panda,28/08/20 - 03/09/20,110.286
76,77,Пикачу,"MIA BOYKA, ЕГОР ШИП",28/08/20 - 03/09/20,110.571
77,78,Тобой дышу,"Bahh Tee, Turken",28/08/20 - 03/09/20,110.714
78,79,Такси,"Мохито, Зомб",28/08/20 - 03/09/20,111.286
79,80,Москва любит...,Скриптонит,28/08/20 - 03/09/20,111.286
80,81,Море волнуется раз,Konfuz,28/08/20 - 03/09/20,111.429
81,82,Золото,Супер Жорик,28/08/20 - 03/09/20,111.714
82,83,Ревную,Liza Evans,28/08/20 - 03/09/20,111.714
83,84,Плачу на техно,"Cream Soda, ХЛЕБ",28/08/20 - 03/09/20,114.143
84,85,Cadillac Club Remix,"MORGENSHTERN, Элджей",28/08/20 - 03/09/20,114.857
85,86,Кайфули,Ганвест,28/08/20 - 03/09/20,115.143
86,87,Бумажный дом,Мот,28/08/20 - 03/09/20,115.571
87,88,Психушка,Karna.val,28/08/20 - 03/09/20,115.571
88,89,Кометы,polnalyubvi,28/08/20 - 03/09/20,116.0
89,90,МАЛЬЧИК,ФОГЕЛЬ,28/08/20 - 03/09/20,116.286
90,91,Atlant,Miyagi & Andy Panda,28/08/20 - 03/09/20,116.857
91,92,Обилие,Mr Lambo,28/08/20 - 03/09/20,118.571
92,93,Fly 2,"Zivert, NILETTO",28/08/20 - 03/09/20,119.0
93,94,Забываю обещания,Andro,28/08/20 - 03/09/20,125.714
94,95,ВЕСНУШКИ,Тима Белорусских,28/08/20 - 03/09/20,126.286
95,96,Вальс,Ramil',28/08/20 - 03/09/20,127.286
96,97,РАТАТАТАТА,"MORGENSHTERN, Витя АК",28/08/20 - 03/09/20,128.143
97,98,Сияй,Ramil',28/08/20 - 03/09/20,129.0
98,99,WAP (feat. Megan Thee Stallion),Cardi B feat. Megan Thee Stallion,28/08/20 - 03/09/20,129.571
99,100,Если тебе будет грустно,"Rauf & Faik, NILETTO",28/08/20 - 03/09/20,129.714
100,101,Время молодёжи,Яд Добра,28/08/20 - 03/09/20,130.143
101,102,Не сумел,Эллаи,28/08/20 - 03/09/20,131.714
102,103,3-е сентября,Шуфутинский Михаил,28/08/20 - 03/09/20,132.143
103,104,Третье сентября,Михаил Барский,28/08/20 - 03/09/20,134.0
104,105,Девочка танцуй,Artik & Asti,28/08/20 - 03/09/20,134.429
105,106,Камин,EMIN feat. JONY,28/08/20 - 03/09/20,134.857
106,107,БАУНТИ,"Gidayyat, Gazan, Зомб",28/08/20 - 03/09/20,136.857
107,108,Авторитеты,Jamik,28/08/20 - 03/09/20,140.429
108,109,ЧЁРНЫЙ БУМЕР,DAVA feat. SERYOGA,28/08/20 - 03/09/20,142.571
109,110,Луна не знает пути,"Тайпан, Agunda",28/08/20 - 03/09/20,142.714
