,rank,title,artist,date,streams,week
88,89,Не святой,Эдуард Хуснутдинов,31/08/2020,251K,24/08/20 - 30/08/20
89,90,Я вернусь,Игорь Тальков,31/08/2020,246K,24/08/20 - 30/08/20
90,91,Фантазёр (прямой эфир),Александр Морозов,31/08/2020,244K,24/08/20 - 30/08/20
91,92,PUNANI,6ix9ine,31/08/2020,241K,24/08/20 - 30/08/20
92,93,В стиле диско,Вирус,31/08/2020,240K,24/08/20 - 30/08/20
93,94,ВЕЧЕРиНОЧКА (MONATIK & Вера Брежнева),MONATIK,31/08/2020,240K,24/08/20 - 30/08/20
94,95,Как твои дела?,Egor Ship,31/08/2020,237K,24/08/20 - 30/08/20
95,96,По щекам слёзы (КУЧЕР & JANAGA),КУЧЕР,31/08/2020,236K,24/08/20 - 30/08/20
96,97,ON,BTS,31/08/2020,235K,24/08/20 - 30/08/20
97,98,90-60,Жаноб Расул,31/08/2020,235K,24/08/20 - 30/08/20
98,99,"Не пускайте танцевать (Timran, Zell & Batrai) (feat. Aslai)",Timran,31/08/2020,232K,24/08/20 - 30/08/20
99,100,X.O,Ольга Бузова,31/08/2020,231K,24/08/20 - 30/08/20
