,Unnamed: 0,rank,title,artist,time
137,137.0,38,Любимка,NILETTO,08/09/2020 14:31:46
138,138.0,39,UNO,Little Big,08/09/2020 14:31:46
139,139.0,40,Тепло,Макс Корж,08/09/2020 14:31:46
140,140.0,41,Пикачу,Mia Boyka & ЕГОР ШИП,08/09/2020 14:31:46
141,141.0,42,Прятки,HammAli & Navai,08/09/2020 14:31:46
142,142.0,43,Credo,Zivert,08/09/2020 14:31:46
143,143.0,44,Океан,Мари Краймбрери,08/09/2020 14:31:46
144,144.0,45,Зачем топтать мою любовь,"DJ Nejtrino, Elia",08/09/2020 14:31:46
145,145.0,46,Beverly Hills,Zivert,08/09/2020 14:31:46
146,146.0,47,ERRDAY,Big Baby Tape,08/09/2020 14:31:46
147,147.0,48,Луна не знает пути,"Тайпан, Agunda",08/09/2020 14:31:46
148,148.0,49,Малиновый закат (Remix),"Lvnx, ANAMUN",08/09/2020 14:31:46
149,149.0,50,F..k that,Bastard!,08/09/2020 14:31:46
150,150.0,51,На своём вайбе,"Jah Khalib, GUF",08/09/2020 14:31:46
151,151.0,52,Вали,Канги,08/09/2020 14:31:46
152,152.0,53,Фаталити,"KAREENA, Елена Темникова",08/09/2020 14:31:46
153,153.0,54,Life,Zivert,08/09/2020 14:31:46
154,154.0,55,Kings & Queens,Ava Max,08/09/2020 14:31:46
155,155.0,56,Не смогу,"VERBEE, KARA KROSS",08/09/2020 14:31:46
156,156.0,57,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",08/09/2020 14:31:46
157,157.0,58,Грустный дэнс,"Artik & Asti, Артём Качер",08/09/2020 14:31:46
158,158.0,59,Ну чё ты такой хороший?,Асия,08/09/2020 14:31:46
159,159.0,60,Hypnodancer,Little Big,08/09/2020 14:31:46
160,160.0,61,Кукла колдуна,Король и Шут,08/09/2020 14:31:46
161,161.0,62,Выхода нет,Сплин,08/09/2020 14:31:46
162,162.0,63,A Million On My Soul (Remix),"Moses, EMR3YGUL, Alexiane",08/09/2020 14:31:46
163,163.0,64,ICE,MORGENSHTERN,08/09/2020 14:31:46
164,164.0,65,Пряталась в ванной,Мари Краймбрери,08/09/2020 14:31:46
165,165.0,66,BALENCIAGA,FILV,08/09/2020 14:31:46
166,166.0,67,Зелёные волны,Zivert,08/09/2020 14:31:46
167,167.0,68,Ураган,"GUF, Murovei, V $ X V PRiNCE",08/09/2020 14:31:46
168,168.0,69,Femme Like U,"Monaldin, Emma Peters",08/09/2020 14:31:46
169,169.0,70,В последний раз,Тима Белорусских,08/09/2020 14:31:46
170,170.0,71,Психушка,Karna.val,08/09/2020 14:31:46
171,171.0,72,На тебя смотрю,"Jah Khalib, ВесЪ",08/09/2020 14:31:46
172,172.0,73,Kosandra,Miyagi & Andy Panda,08/09/2020 14:31:46
173,173.0,74,Кометы,polnalyubvi,08/09/2020 14:31:46
174,174.0,75,Сансара,"Баста, Скриптонит, Сергей Бобунец, Диана Арбенина, Ант, SunSay",08/09/2020 14:31:46
175,175.0,76,I Got Love,"Miyagi & Эндшпиль, Рем Дигга",08/09/2020 14:31:46
176,176.0,77,Мир сошёл с ума,JONY,08/09/2020 14:31:46
177,177.0,78,Dance Monkey,Tones And I,08/09/2020 14:31:46
178,178.0,79,ВЕЧЕРиНОЧКА,"MONATIK, Вера Брежнева",08/09/2020 14:31:46
179,179.0,80,Чувства,Artik & Asti,08/09/2020 14:31:46
180,180.0,81,Прыгну со скалы,Король и Шут,08/09/2020 14:31:46
181,181.0,82,Numb,Linkin Park,08/09/2020 14:31:46
182,182.0,83,Под гипнозом,Artik & Asti,08/09/2020 14:31:46
183,183.0,84,По кайфу,Олег Кензов,08/09/2020 14:31:46
184,184.0,85,Лесник,Король и Шут,08/09/2020 14:31:46
185,185.0,86,ОСТАНОВИТЕ МУЗЫКУ,ФОГЕЛЬ,08/09/2020 14:31:46
186,186.0,87,Меня не будет,"ANIKV, SALUKI",08/09/2020 14:31:46
187,187.0,88,ily,"Surf Mesa, Emilee",08/09/2020 14:31:46
188,188.0,89,Камин,"EMIN, JONY",08/09/2020 14:31:46
189,189.0,90,ПеретанцуйМеня (Remix),"Артур Пирожков, DJ Nejtrino",08/09/2020 14:31:46
190,190.0,91,Золото,Супер Жорик,08/09/2020 14:31:46
191,191.0,92,#ПеретанцуйМеня,Артур Пирожков,08/09/2020 14:31:46
192,192.0,93,In The End (Mellen Gi Remix),"Tommee Profitt, Fleurie, Mellen Gi",08/09/2020 14:31:46
193,193.0,94,2 типа людей,Макс Корж,08/09/2020 14:31:46
194,194.0,95,Втюрилась,дора,08/09/2020 14:31:46
195,195.0,96,"Мама, как быть?",Люся Чеботина,08/09/2020 14:31:46
196,196.0,97,Мадам,"JONY, Andro",08/09/2020 14:31:46
197,197.0,98,Минимум,"Фейджи, Ямаджи",08/09/2020 14:31:46
198,198.0,99,Спой,Миша Марвин feat. Мот,08/09/2020 14:31:46
199,199.0,100,Natalie Don't,RAYE,08/09/2020 14:31:46
