,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
103,104,Босая,#2Маши,01/09/20 - 07/09/20,126.857,,,,
104,105,Relax,Junona Boys,01/09/20 - 07/09/20,127.214,,,,
105,106,Believer,Imagine Dragons,01/09/20 - 07/09/20,127.714,,,,
106,107,Фаталити,"KAREENA, Елена Темникова",01/09/20 - 07/09/20,130.571,,,,
107,108,Втюрилась,дора,01/09/20 - 07/09/20,131.0,,,,
108,109,Мадам,"JONY, Andro",01/09/20 - 07/09/20,132.143,,,,
109,110,Что такое осень,ДДТ,01/09/20 - 07/09/20,133.286,,,,
110,111,Районы-кварталы,Звери,01/09/20 - 07/09/20,134.429,,,,
111,112,Если бы не ты,"Nebezao, NЮ",01/09/20 - 07/09/20,134.429,,,,
112,113,Another One Bites The Dust (из фильма «Богемская рапсодия»),Queen,01/09/20 - 07/09/20,134.571,,,,
113,114,Femme Like U,"Monaldin, Emma Peters",01/09/20 - 07/09/20,135.143,,,,
114,115,ВЕСНУШКИ,Тима Белорусских,01/09/20 - 07/09/20,135.143,,,,
115,116,Нежность,Mary Gu,01/09/20 - 07/09/20,135.571,,,,
116,117,Ты пари,JONY,01/09/20 - 07/09/20,135.786,,,,
117,118,Tacos,Little Big,01/09/20 - 07/09/20,136.571,,,,
118,119,Natalie Don't,RAYE,01/09/20 - 07/09/20,138.429,,,,
119,120,Мир сошёл с ума,JONY,01/09/20 - 07/09/20,147.714,,,,
120,121,ОСТАНОВИТЕ МУЗЫКУ,ФОГЕЛЬ,01/09/20 - 07/09/20,154.857,,,,
121,122,ПеретанцуйМеня (Remix),"Артур Пирожков, DJ Nejtrino",01/09/20 - 07/09/20,155.286,,,,
122,123,Минимум,"Фейджи, Ямаджи",01/09/20 - 07/09/20,156.0,,,,
123,124,"Мама, как быть?",Люся Чеботина,01/09/20 - 07/09/20,156.857,,,,
124,1,Юность,Dabro,02/09/20 - 08/09/20,29.714000000000002,,,,
125,2,Сияй,Ramil',02/09/20 - 08/09/20,30.643,,,,
126,3,Краш,Клава Кока & NILETTO,02/09/20 - 08/09/20,31.714000000000002,,,,
127,4,Поболело и прошло,HENSY,02/09/20 - 08/09/20,32.5,,,,
128,5,неболей,"Zivert, Баста",02/09/20 - 08/09/20,33.286,,,,
129,6,А уже фсё (prod. by SOAHX),Mitchel,02/09/20 - 08/09/20,35.214,,,,
130,7,Cadillac,"MORGENSHTERN, Элджей",02/09/20 - 08/09/20,35.286,,,,
131,8,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,02/09/20 - 08/09/20,36.786,,,,
132,9,Беги (feat. Poët),Dj Smash,02/09/20 - 08/09/20,36.857,,,,
133,10,Blinding Lights,The Weeknd,02/09/20 - 08/09/20,38.929,,,,
134,11,Lollipop,"Gafur, JONY",02/09/20 - 08/09/20,39.714,,,,
135,12,Lollipop,"Элджей, MORGENSHTERN",02/09/20 - 08/09/20,40.143,,,,
136,13,А если это любовь?,HammAli & Navai,02/09/20 - 08/09/20,41.0,,,,
137,14,X.O,"The Limba, Andro",02/09/20 - 08/09/20,41.214,,,,
138,15,Плачу на техно,"Cream Soda, Хлеб",02/09/20 - 08/09/20,41.5,,,,
139,16,Lovefool,twocolors,02/09/20 - 08/09/20,41.714,,,,
140,17,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",02/09/20 - 08/09/20,41.928999999999995,,,,
141,18,Minor,Miyagi & Andy Panda,02/09/20 - 08/09/20,44.286,,,,
142,19,Fly 2,"Zivert, NILETTO",02/09/20 - 08/09/20,44.571000000000005,,,,
143,20,"Девочка, танцуй",Artik & Asti,02/09/20 - 08/09/20,46.214,,,,
144,21,Покинула чат,Клава Кока,02/09/20 - 08/09/20,46.571000000000005,,,,
145,22,Твой поцелуй,"Асия, NЮ",02/09/20 - 08/09/20,47.357,,,,
146,23,Французский поцелуй,Миша Марвин & Ханна,02/09/20 - 08/09/20,47.643,,,,
147,24,ЯТЛ,Zivert,02/09/20 - 08/09/20,48.286,,,,
